time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,relative_humidity_2m_mean,wind_speed_10m_max,shortwave_radiation_sum,precipitation_sum,es,ea,vpd,delta,giorno_anno,ra,rso,rns,rapporto_nuvolosita,rnl,rn,u2,et0,giorni_da_semina,kc,etc
2024-06-30,28.7,21.3,24.8,72,14.8,25.83,0.1,3.2349792420967725,2.329185054309676,0.9057941877870963,0.18673033901982353,182,41.652282174932736,31.276698685156994,19.8891,0.8258544247273182,3.747973407946348,16.141126592053652,11.069675912485573,6.444008599705614,66,1.2,7.732810319646736
2024-07-01,26.6,19.6,22.8,79,12.9,21.61,4.3,2.881764332219227,2.276593822453189,0.6051705097660376,0.16813302065808716,183,41.603386337708365,31.23998280098521,16.6397,0.6917417380690264,2.841904856027915,13.797795143972087,9.64856886966648,4.696984826517831,67,1.2,5.636381791821397
2024-07-02,27.1,17.4,22.4,79,8.4,24.69,1.5,2.7868538776265956,2.201614563325011,0.5852393143015848,0.16460774689933025,184,41.550304413212686,31.200123583881407,19.011300000000002,0.7913430193191715,3.553370376779924,15.457929623220078,6.282789031410731,4.773262944380182,68,1.2,5.727915533256218
2024-07-03,22.1,18.3,20.1,80,17.8,16.08,0.9,2.3816672099709795,1.9053337679767837,0.4763334419941958,0.14552546018733548,185,41.49304785289728,31.157129632740567,12.381599999999999,0.516093754127556,1.8481951200478126,10.533404879952187,13.313529137989406,3.7418712598581827,69,1.2,4.490245511829819
2024-07-04,25.9,15.5,21.2,75,8.6,26.68,0.2,2.5513215566340053,1.913491167475504,0.6378303891585013,0.1544040611111723,186,41.43162882487867,31.111010084601396,20.5436,0.8575742133555941,4.329760934807933,16.21383906519207,6.432379246444319,5.061492569366567,70,1.2,6.07379108323988
2024-07-05,28.3,16.9,22.8,74,9.0,26.19,0.0,2.8859724874272876,2.1356196406961927,0.7503528467310949,0.16813302065808716,187,41.36606020787006,31.061774610089632,20.166300000000003,0.8431585229355454,4.013289290854241,16.15301070914576,6.731559676511497,5.502790287774952,71,1.2,6.603348345329943
2024-07-06,28.8,18.7,23.6,75,14.8,25.15,0.0,3.0581073048132,2.2935804786099,0.7645268262033,0.1753750103078545,188,41.29635558539756,31.00943340907503,19.3655,0.8110435191840608,3.638697893437766,15.726802106562236,11.069675912485573,5.754525262193555,72,1.2,6.905430314632266
2024-07-07,27.2,19.5,22.7,81,14.1,19.29,5.2,2.9371342017529827,2.3790787034199163,0.5580554983330663,0.16724578322202138,189,41.22252924040917,30.95399720662325,14.853299999999999,0.623182843599679,2.312252564276282,12.541047435723717,10.546110159868013,4.332860312446034,73,1.2,5.19943237493524
2024-07-08,28.4,19.6,23.8,82,8.7,23.71,2.9,3.074934744755611,2.5214464906996006,0.5534882540560102,0.17722605524927612,190,41.14459615038498,30.89547724932408,18.256700000000002,0.7674262419920611,3.0909038920424,15.165796107957602,6.507174353961114,4.658572669670458,74,1.2,5.590287203604549
2024-07-09,30.7,20.4,25.8,76,7.7,25.87,0.0,3.406619721885786,2.5890309886331972,0.8175887332525886,0.19666050184576003,191,41.0625719830565,30.833885302077128,19.919900000000002,0.8390120072950153,3.511571956125211,16.40832804387479,5.75922327879317,5.740770928777536,75,1.2,6.888925114533043
